Date,Open,High,Low,Close,Adj Close,Volume
2013-07-29,64.470001,64.900002,64.169998,64.239998,55.027073,9304700
2013-07-30,64.720001,65.190002,64.389999,64.510002,55.258354,11528900
2013-07-31,64.599998,64.949997,64.400002,64.559998,55.301182,12417500
2013-08-01,64.779999,65.480003,64.309998,65.269997,55.909363,11595600
2013-08-02,64.889999,66.760002,64.889999,66.750000,57.177105,19320500
2013-08-05,65.410004,66.389999,65.330002,66.250000,56.748817,13249800
2013-08-06,66.180000,66.300003,65.529999,65.589996,56.183464,7952400
2013-08-07,65.269997,65.839996,65.000000,65.209999,55.857956,9489900
2013-08-08,65.589996,66.639999,65.360001,66.349998,56.834473,12876400
2013-08-09,66.339996,66.550003,66.040001,66.269997,56.765934,7891400
2013-08-12,65.889999,66.620003,65.800003,66.459999,56.928692,7244700
2013-08-13,66.730003,67.449997,66.529999,67.250000,57.605400,12605200
2013-08-14,67.080002,67.220001,66.629997,66.959999,57.356987,9322600
2013-08-15,66.349998,66.949997,66.199997,66.949997,57.348423,11462800
2013-08-16,66.690002,67.419998,66.690002,66.900002,57.305599,13888900
2013-08-19,66.879997,67.400002,66.290001,66.330002,56.817348,9063600
2013-08-20,66.529999,67.139999,66.309998,66.709999,57.142834,9064900
2013-08-21,66.309998,67.000000,66.190002,66.570000,57.022923,8471500
2013-08-22,66.690002,67.169998,66.639999,67.129997,57.502609,6694200
2013-08-23,67.010002,67.339996,66.599998,67.150002,57.519737,8374900
2013-08-26,67.029999,67.239998,66.800003,66.949997,57.348423,10388700
2013-08-27,66.309998,66.650002,65.910004,66.019997,56.551796,9058400
2013-08-28,66.070000,66.839996,65.989998,66.559998,57.014355,8511300
2013-08-29,66.570000,67.139999,66.400002,66.709999,57.142834,6551500
2013-08-30,66.629997,66.660004,65.739998,66.279999,57.073956,8441300
2013-09-03,66.919998,67.739998,66.519997,66.750000,57.478672,11906500
2013-09-04,66.820000,67.510002,66.800003,67.279999,57.935062,7900100
2013-09-05,67.330002,67.959999,67.239998,67.830002,58.408665,8074600
2013-09-06,67.980003,68.449997,67.370003,68.019997,58.572269,10267200
2013-09-09,68.000000,69.370003,68.000000,69.300003,59.674496,13633400
2013-09-10,69.389999,70.370003,69.389999,70.089996,60.354752,14610700
2013-09-11,68.290001,68.599998,67.489998,68.089996,58.632561,21086500
2013-09-12,68.730003,69.720001,68.500000,68.809998,59.252548,17294200
2013-09-13,69.209999,69.239998,68.360001,68.580002,59.054497,11713800
2013-09-16,69.019997,69.050003,67.970001,68.089996,58.632561,12018800
2013-09-17,68.360001,69.459999,68.150002,69.419998,59.777809,14140700
2013-09-18,69.470001,69.870003,68.910004,69.639999,59.967262,11062900
2013-09-19,69.709999,70.040001,69.419998,69.459999,59.812256,12310200
2013-09-20,69.519997,69.889999,69.000000,69.059998,59.467819,18278300
2013-09-23,70.000000,70.230003,68.879997,68.980003,59.398945,13520800
2013-09-24,68.720001,68.910004,68.139999,68.510002,58.994225,8067600
2013-09-25,68.440002,69.070000,68.260002,68.750000,59.200874,7053700
2013-09-26,69.080002,69.349998,68.699997,68.870003,59.304214,4987100
2013-09-27,68.190002,68.279999,67.080002,67.379997,58.021168,10850300
2013-09-30,66.940002,67.589996,66.550003,67.320000,57.969498,8551800
2013-10-01,67.400002,67.879997,67.169998,67.489998,58.115894,6876700
2013-10-02,67.029999,67.739998,66.949997,67.680000,58.279499,6106600
2013-10-03,67.720001,67.720001,66.699997,67.110001,57.788681,6164200
2013-10-04,67.250000,68.190002,67.129997,68.019997,58.572269,7852400
2013-10-07,66.389999,67.650002,66.300003,67.190002,57.857567,12189800
2013-10-08,67.180000,67.230003,66.260002,66.349998,57.134232,8077900
2013-10-09,66.550003,66.580002,65.470001,65.709999,56.583126,11099600
2013-10-10,66.220001,66.970001,66.000000,66.839996,57.556164,7416700
2013-10-11,66.959999,67.599998,66.589996,67.550003,58.167557,7119400
2013-10-14,67.110001,67.940002,66.919998,67.750000,58.339783,5548100
2013-10-15,68.000000,68.699997,67.800003,68.169998,58.701435,7727500
2013-10-16,68.500000,69.099998,68.389999,68.870003,59.304214,8290300
2013-10-17,68.290001,68.760002,67.849998,68.699997,59.157822,7436700
2013-10-18,68.470001,68.970001,68.220001,68.400002,58.899502,8244700
2013-10-21,68.510002,68.949997,68.360001,68.769997,59.218102,5636100
2013-10-22,68.849998,69.250000,68.790001,68.919998,59.347260,8090900
2013-10-23,68.260002,68.500000,66.919998,67.040001,57.728390,13641800
2013-10-24,67.459999,67.510002,66.820000,66.940002,57.642284,7021700
2013-10-25,67.199997,68.269997,67.000000,68.269997,58.787544,10251700
2013-10-28,68.389999,68.620003,67.959999,68.540001,59.020054,7655100
2013-10-29,68.730003,69.389999,68.599998,68.930000,59.355873,8219900
2013-10-30,68.989998,69.349998,68.830002,69.040001,59.450596,7184700
2013-10-31,69.190002,69.980003,68.760002,69.489998,59.838097,11205000
2013-11-01,69.529999,70.000000,69.320000,69.900002,60.191139,10847200
2013-11-04,70.139999,70.190002,69.250000,69.570000,59.906986,9294400
2013-11-05,69.250000,69.550003,68.860001,69.010002,59.424778,8602600
2013-11-06,69.430000,69.809998,68.669998,69.739998,60.053371,13386400
2013-11-07,66.830002,67.750000,66.250000,67.089996,57.771450,33825700
2013-11-08,67.419998,68.040001,67.059998,67.449997,58.081440,14752500
2013-11-11,67.300003,67.919998,67.180000,67.620003,58.227840,10570000
